Assigned report section,Catalogue Item ID,Existing visualization?,Exists?,Figure IDs,Figure renderable?,Fold,Frozen source,Integrity status,Model,New inference required?,Notes,Phase,Public / Private,Report placement,Result / Artifact type,Scientific content,Table IDs,Table renderable?,Visualization status
SEC-EXPERIMENTAL-SETUP,RES-P6-STANDARD_CBM-FOLD3-TRAIN-TEST,False,True,,False,3,repo://artifacts/baseline_v2/audit/p6/fold_3.json,VERIFIED,standard_cbm,False,,P6,PRIVATE_SOURCE_PUBLIC_AUDIT,Appendix,model_fold_run,"Frozen training, best checkpoint, and exactly-once test evaluation",RPT-T05,True,RESULT_ALREADY_EXISTS
SEC-EXPERIMENTAL-SETUP,RES-P6-STANDARD_CBM-FOLD4-TRAIN-TEST,False,True,,False,4,repo://artifacts/baseline_v2/audit/p6/fold_4.json,VERIFIED,standard_cbm,False,,P6,PRIVATE_SOURCE_PUBLIC_AUDIT,Appendix,model_fold_run,"Frozen training, best checkpoint, and exactly-once test evaluation",RPT-T05,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-OOF-STANDARD_CBM,False,True,"RPT-F04, RPT-F06",True,ALL/NA,mac-archive://p9/canonical_oof/standard_cbm_oof_predictions.parquet,VERIFIED,standard_cbm,False,,P9,PRIVATE_RESTRICTED,Appendix,pooled_oof,Canonical pooled OOF prediction set,"RPT-T07, RPT-T09",True,RESULT_ALREADY_EXISTS
SEC-EXPERIMENTAL-SETUP,RES-P7-MIXED_CEM-FOLD0-TRAIN-TEST,False,True,,False,0,repo://artifacts/baseline_v2/audit/p7/fold_0.json,VERIFIED,mixed_cem,False,,P7,PRIVATE_SOURCE_PUBLIC_AUDIT,Appendix,model_fold_run,"Frozen training, best checkpoint, and exactly-once test evaluation",RPT-T05,True,RESULT_ALREADY_EXISTS
SEC-EXPERIMENTAL-SETUP,RES-P7-MIXED_CEM-FOLD1-TRAIN-TEST,False,True,,False,1,repo://artifacts/baseline_v2/audit/p7/fold_1.json,VERIFIED,mixed_cem,False,,P7,PRIVATE_SOURCE_PUBLIC_AUDIT,Appendix,model_fold_run,"Frozen training, best checkpoint, and exactly-once test evaluation",RPT-T05,True,RESULT_ALREADY_EXISTS
SEC-EXPERIMENTAL-SETUP,RES-P7-MIXED_CEM-FOLD2-TRAIN-TEST,False,True,,False,2,repo://artifacts/baseline_v2/audit/p7/fold_2.json,VERIFIED,mixed_cem,False,,P7,PRIVATE_SOURCE_PUBLIC_AUDIT,Appendix,model_fold_run,"Frozen training, best checkpoint, and exactly-once test evaluation",RPT-T05,True,RESULT_ALREADY_EXISTS
SEC-EXPERIMENTAL-SETUP,RES-P7-MIXED_CEM-FOLD3-TRAIN-TEST,False,True,,False,3,repo://artifacts/baseline_v2/audit/p7/fold_3.json,VERIFIED,mixed_cem,False,,P7,PRIVATE_SOURCE_PUBLIC_AUDIT,Appendix,model_fold_run,"Frozen training, best checkpoint, and exactly-once test evaluation",RPT-T05,True,RESULT_ALREADY_EXISTS
SEC-EXPERIMENTAL-SETUP,RES-P7-MIXED_CEM-FOLD4-TRAIN-TEST,False,True,,False,4,repo://artifacts/baseline_v2/audit/p7/fold_4.json,VERIFIED,mixed_cem,False,,P7,PRIVATE_SOURCE_PUBLIC_AUDIT,Appendix,model_fold_run,"Frozen training, best checkpoint, and exactly-once test evaluation",RPT-T05,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-OOF-MIXED_CEM,False,True,"RPT-F04, RPT-F06",True,ALL/NA,mac-archive://p9/canonical_oof/cem_oof_predictions.parquet,VERIFIED,mixed_cem,False,,P9,PRIVATE_RESTRICTED,Appendix,pooled_oof,Canonical pooled OOF prediction set,"RPT-T07, RPT-T09",True,RESULT_ALREADY_EXISTS
SEC-EXPERIMENTAL-SETUP,RES-P8-LEARNED_SOFTMAX_GAM-FOLD0-TRAIN-TEST,False,True,,False,0,repo://artifacts/baseline_v2/audit/p8/fold_0.json,VERIFIED,learned_softmax_gam,False,,P8,PRIVATE_SOURCE_PUBLIC_AUDIT,Appendix,model_fold_run,"Frozen training, best checkpoint, and exactly-once test evaluation",RPT-T05,True,RESULT_ALREADY_EXISTS
SEC-EXPERIMENTAL-SETUP,RES-P8-LEARNED_SOFTMAX_GAM-FOLD1-TRAIN-TEST,False,True,,False,1,repo://artifacts/baseline_v2/audit/p8/fold_1.json,VERIFIED,learned_softmax_gam,False,,P8,PRIVATE_SOURCE_PUBLIC_AUDIT,Appendix,model_fold_run,"Frozen training, best checkpoint, and exactly-once test evaluation",RPT-T05,True,RESULT_ALREADY_EXISTS
SEC-EXPERIMENTAL-SETUP,RES-P8-LEARNED_SOFTMAX_GAM-FOLD2-TRAIN-TEST,False,True,,False,2,repo://artifacts/baseline_v2/audit/p8/fold_2.json,VERIFIED,learned_softmax_gam,False,,P8,PRIVATE_SOURCE_PUBLIC_AUDIT,Appendix,model_fold_run,"Frozen training, best checkpoint, and exactly-once test evaluation",RPT-T05,True,RESULT_ALREADY_EXISTS
SEC-EXPERIMENTAL-SETUP,RES-P8-LEARNED_SOFTMAX_GAM-FOLD3-TRAIN-TEST,False,True,,False,3,repo://artifacts/baseline_v2/audit/p8/fold_3.json,VERIFIED,learned_softmax_gam,False,,P8,PRIVATE_SOURCE_PUBLIC_AUDIT,Appendix,model_fold_run,"Frozen training, best checkpoint, and exactly-once test evaluation",RPT-T05,True,RESULT_ALREADY_EXISTS
SEC-EXPERIMENTAL-SETUP,RES-P8-LEARNED_SOFTMAX_GAM-FOLD4-TRAIN-TEST,False,True,,False,4,repo://artifacts/baseline_v2/audit/p8/fold_4.json,VERIFIED,learned_softmax_gam,False,,P8,PRIVATE_SOURCE_PUBLIC_AUDIT,Appendix,model_fold_run,"Frozen training, best checkpoint, and exactly-once test evaluation",RPT-T05,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-OOF-LEARNED_SOFTMAX_GAM,False,True,"RPT-F04, RPT-F06",True,ALL/NA,mac-archive://p9/canonical_oof/gam_oof_predictions.parquet,VERIFIED,learned_softmax_gam,False,,P9,PRIVATE_RESTRICTED,Appendix,pooled_oof,Canonical pooled OOF prediction set,"RPT-T07, RPT-T09",True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-PRIMARY-BLACKBOX,False,True,RPT-F04,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/task.json,VERIFIED,blackbox,False,,P9,PUBLIC_DEIDENTIFIED,Main report,pooled_primary_result,Pooled primary regression metrics and patient-bootstrap intervals,RPT-T07,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-PRIMARY-STANDARD_CBM,False,True,RPT-F04,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/task.json,VERIFIED,standard_cbm,False,,P9,PUBLIC_DEIDENTIFIED,Main report,pooled_primary_result,Pooled primary regression metrics and patient-bootstrap intervals,RPT-T07,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-PRIMARY-MIXED_CEM,False,True,RPT-F04,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/task.json,VERIFIED,mixed_cem,False,,P9,PUBLIC_DEIDENTIFIED,Main report,pooled_primary_result,Pooled primary regression metrics and patient-bootstrap intervals,RPT-T07,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-PRIMARY-LEARNED_SOFTMAX_GAM,False,True,RPT-F04,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/task.json,VERIFIED,learned_softmax_gam,False,,P9,PUBLIC_DEIDENTIFIED,Main report,pooled_primary_result,Pooled primary regression metrics and patient-bootstrap intervals,RPT-T07,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-PAIRED-MAE-BLACKBOX-VS-LEARNED_SOFTMAX_GAM,False,True,RPT-F05,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/bootstrap.json,VERIFIED,ALL/NA,False,,P9,PUBLIC_DEIDENTIFIED,Main report,paired_primary_comparison,Paired patient-bootstrap Delta-MAE,RPT-T08,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-PAIRED-MAE-BLACKBOX-VS-MIXED_CEM,False,True,RPT-F05,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/bootstrap.json,VERIFIED,ALL/NA,False,,P9,PUBLIC_DEIDENTIFIED,Main report,paired_primary_comparison,Paired patient-bootstrap Delta-MAE,RPT-T08,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-PAIRED-MAE-BLACKBOX-VS-STANDARD_CBM,False,True,RPT-F05,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/bootstrap.json,VERIFIED,ALL/NA,False,,P9,PUBLIC_DEIDENTIFIED,Main report,paired_primary_comparison,Paired patient-bootstrap Delta-MAE,RPT-T08,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-PAIRED-MAE-MIXED_CEM-VS-LEARNED_SOFTMAX_GAM,False,True,RPT-F05,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/bootstrap.json,VERIFIED,ALL/NA,False,,P9,PUBLIC_DEIDENTIFIED,Main report,paired_primary_comparison,Paired patient-bootstrap Delta-MAE,RPT-T08,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-PAIRED-MAE-STANDARD_CBM-VS-LEARNED_SOFTMAX_GAM,False,True,RPT-F05,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/bootstrap.json,VERIFIED,ALL/NA,False,,P9,PUBLIC_DEIDENTIFIED,Main report,paired_primary_comparison,Paired patient-bootstrap Delta-MAE,RPT-T08,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-PAIRED-MAE-STANDARD_CBM-VS-MIXED_CEM,False,True,RPT-F05,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/bootstrap.json,VERIFIED,ALL/NA,False,,P9,PUBLIC_DEIDENTIFIED,Main report,paired_primary_comparison,Paired patient-bootstrap Delta-MAE,RPT-T08,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-SECONDARY-BLACKBOX,False,True,RPT-F06,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/task.json,VERIFIED,blackbox,False,,P9,PUBLIC_DEIDENTIFIED,Main report,pooled_secondary_result,Extreme-subset discrimination and validation-threshold metrics,RPT-T09,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-SECONDARY-STANDARD_CBM,False,True,RPT-F06,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/task.json,VERIFIED,standard_cbm,False,,P9,PUBLIC_DEIDENTIFIED,Main report,pooled_secondary_result,Extreme-subset discrimination and validation-threshold metrics,RPT-T09,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-SECONDARY-MIXED_CEM,False,True,RPT-F06,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/task.json,VERIFIED,mixed_cem,False,,P9,PUBLIC_DEIDENTIFIED,Main report,pooled_secondary_result,Extreme-subset discrimination and validation-threshold metrics,RPT-T09,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-SECONDARY-LEARNED_SOFTMAX_GAM,False,True,RPT-F06,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/task.json,VERIFIED,learned_softmax_gam,False,,P9,PUBLIC_DEIDENTIFIED,Main report,pooled_secondary_result,Extreme-subset discrimination and validation-threshold metrics,RPT-T09,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-PAIRED-AUROC-BLACKBOX-VS-LEARNED_SOFTMAX_GAM,False,True,RPT-F06,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/bootstrap.json,VERIFIED,ALL/NA,False,,P9,PUBLIC_DEIDENTIFIED,Main report,paired_secondary_comparison,Paired patient-bootstrap Delta-AUROC,RPT-T10,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-PAIRED-AUROC-BLACKBOX-VS-MIXED_CEM,False,True,RPT-F06,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/bootstrap.json,VERIFIED,ALL/NA,False,,P9,PUBLIC_DEIDENTIFIED,Main report,paired_secondary_comparison,Paired patient-bootstrap Delta-AUROC,RPT-T10,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-PAIRED-AUROC-BLACKBOX-VS-STANDARD_CBM,False,True,RPT-F06,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/bootstrap.json,VERIFIED,ALL/NA,False,,P9,PUBLIC_DEIDENTIFIED,Main report,paired_secondary_comparison,Paired patient-bootstrap Delta-AUROC,RPT-T10,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-PAIRED-AUROC-MIXED_CEM-VS-LEARNED_SOFTMAX_GAM,False,True,RPT-F06,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/bootstrap.json,VERIFIED,ALL/NA,False,,P9,PUBLIC_DEIDENTIFIED,Main report,paired_secondary_comparison,Paired patient-bootstrap Delta-AUROC,RPT-T10,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-PAIRED-AUROC-STANDARD_CBM-VS-LEARNED_SOFTMAX_GAM,False,True,RPT-F06,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/bootstrap.json,VERIFIED,ALL/NA,False,,P9,PUBLIC_DEIDENTIFIED,Main report,paired_secondary_comparison,Paired patient-bootstrap Delta-AUROC,RPT-T10,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-PREDICTION,RES-P9-PAIRED-AUROC-STANDARD_CBM-VS-MIXED_CEM,False,True,RPT-F06,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/bootstrap.json,VERIFIED,ALL/NA,False,,P9,PUBLIC_DEIDENTIFIED,Main report,paired_secondary_comparison,Paired patient-bootstrap Delta-AUROC,RPT-T10,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-WHAT,RES-P9-CONCEPT-STANDARD_CBM-SUBTLETY,False,True,RPT-F09A,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/concept.json,VERIFIED,standard_cbm,False,,P9,PUBLIC_DEIDENTIFIED,Main report,continuous_concept_result,Pooled continuous concept fidelity,RPT-T11,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-WHAT,RES-P9-CONCEPT-STANDARD_CBM-SPHERICITY,False,True,RPT-F09A,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/concept.json,VERIFIED,standard_cbm,False,,P9,PUBLIC_DEIDENTIFIED,Main report,continuous_concept_result,Pooled continuous concept fidelity,RPT-T11,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-WHAT,RES-P9-CONCEPT-STANDARD_CBM-MARGIN,False,True,RPT-F09A,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/concept.json,VERIFIED,standard_cbm,False,,P9,PUBLIC_DEIDENTIFIED,Main report,continuous_concept_result,Pooled continuous concept fidelity,RPT-T11,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-WHAT,RES-P9-CONCEPT-STANDARD_CBM-LOBULATION,False,True,RPT-F09A,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/concept.json,VERIFIED,standard_cbm,False,,P9,PUBLIC_DEIDENTIFIED,Main report,continuous_concept_result,Pooled continuous concept fidelity,RPT-T11,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-WHAT,RES-P9-CONCEPT-STANDARD_CBM-SPICULATION,False,True,RPT-F09A,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/concept.json,VERIFIED,standard_cbm,False,,P9,PUBLIC_DEIDENTIFIED,Main report,continuous_concept_result,Pooled continuous concept fidelity,RPT-T11,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-WHAT,RES-P9-CONCEPT-STANDARD_CBM-TEXTURE,False,True,RPT-F09A,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/concept.json,VERIFIED,standard_cbm,False,,P9,PUBLIC_DEIDENTIFIED,Main report,continuous_concept_result,Pooled continuous concept fidelity,RPT-T11,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-WHAT,RES-P9-CONCEPT-MIXED_CEM-SUBTLETY,False,True,RPT-F09A,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/concept.json,VERIFIED,mixed_cem,False,,P9,PUBLIC_DEIDENTIFIED,Main report,continuous_concept_result,Pooled continuous concept fidelity,RPT-T11,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-WHAT,RES-P9-CONCEPT-MIXED_CEM-SPHERICITY,False,True,RPT-F09A,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/concept.json,VERIFIED,mixed_cem,False,,P9,PUBLIC_DEIDENTIFIED,Main report,continuous_concept_result,Pooled continuous concept fidelity,RPT-T11,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-WHAT,RES-P9-CONCEPT-MIXED_CEM-MARGIN,False,True,RPT-F09A,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/concept.json,VERIFIED,mixed_cem,False,,P9,PUBLIC_DEIDENTIFIED,Main report,continuous_concept_result,Pooled continuous concept fidelity,RPT-T11,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-WHAT,RES-P9-CONCEPT-MIXED_CEM-LOBULATION,False,True,RPT-F09A,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/concept.json,VERIFIED,mixed_cem,False,,P9,PUBLIC_DEIDENTIFIED,Main report,continuous_concept_result,Pooled continuous concept fidelity,RPT-T11,True,RESULT_ALREADY_EXISTS
SEC-RESULTS-WHAT,RES-P9-CONCEPT-MIXED_CEM-SPICULATION,False,True,RPT-F09A,True,ALL/NA,repo://artifacts/baseline_v2/audit/p9/concept.json,VERIFIED,mixed_cem,False,,P9,PUBLIC_DEIDENTIFIED,Main report,continuous_concept_result,Pooled continuous concept fidelity,RPT-T11,True,RESULT_ALREADY_EXISTS
